"Noun" "Region" "Condition" "Surprisal"
"284" "sense" "V1_0" "NoSC_in" 13.375952475
"285" "sense" "V1_0" "SC_co" 10.95091305
"286" "sense" "V1_0" "SC_in" 10.864788225
"287" "sense" "V1_0" "SCRC_co" 10.815571075
"288" "sense" "V1_0" "SCRC_in" 10.631002725
"289" "speculation" "V1_0" "NoSC_co" 8.071394475
"290" "speculation" "V1_0" "NoSC_in" 8.071394475
"291" "speculation" "V1_0" "SC_co" 10.2217501
"292" "speculation" "V1_0" "SC_in" 10.257880675
"293" "speculation" "V1_0" "SCRC_co" 10.6365564
"294" "speculation" "V1_0" "SCRC_in" 10.397383975
"295" "statement" "V1_0" "NoSC_co" 8.6222789
"296" "statement" "V1_0" "NoSC_in" 8.6222789
"297" "statement" "V1_0" "SC_co" 10.8299524
"298" "statement" "V1_0" "SC_in" 10.68242715
"299" "statement" "V1_0" "SCRC_co" 10.2158137
"300" "statement" "V1_0" "SCRC_in" 10.2443672
"301" "story" "V1_0" "NoSC_co" 8.48175925
"302" "story" "V1_0" "NoSC_in" 8.48175925
"303" "story" "V1_0" "SC_co" 10.07470125
"304" "story" "V1_0" "SC_in" 10.104695575
"305" "story" "V1_0" "SCRC_co" 10.841730975
"306" "story" "V1_0" "SCRC_in" 10.57525005
"307" "suggestion" "V1_0" "NoSC_co" 8.546542075
"308" "suggestion" "V1_0" "NoSC_in" 8.546542075
"309" "suggestion" "V1_0" "SC_co" 9.617948
"310" "suggestion" "V1_0" "SC_in" 9.877498975
"311" "suggestion" "V1_0" "SCRC_co" 9.8454074
"312" "suggestion" "V1_0" "SCRC_in" 10.060709
"313" "suspicion" "V1_0" "NoSC_co" 9.48646725
"314" "suspicion" "V1_0" "NoSC_in" 9.48646725
"315" "suspicion" "V1_0" "SC_co" 10.082157375
"316" "suspicion" "V1_0" "SC_in" 10.2368276
"317" "suspicion" "V1_0" "SCRC_co" 10.0641107
"318" "suspicion" "V1_0" "SCRC_in" 9.9505639
"319" "thought" "V1_0" "NoSC_co" 10.5719604
"320" "thought" "V1_0" "NoSC_in" 10.5719604
"321" "thought" "V1_0" "SC_co" 13.458743475
"322" "thought" "V1_0" "SC_in" 13.54345535
"323" "thought" "V1_0" "SCRC_co" 11.208846825
"324" "thought" "V1_0" "SCRC_in" 11.052976025
"325" "truth" "V1_0" "NoSC_co" 10.4102574
"326" "truth" "V1_0" "NoSC_in" 10.4102574
"327" "truth" "V1_0" "SC_co" 9.841952375
"328" "truth" "V1_0" "SC_in" 9.7378406
"329" "truth" "V1_0" "SCRC_co" 10.738500525
"330" "truth" "V1_0" "SCRC_in" 10.441806775
"331" "understanding" "V1_0" "NoSC_co" 10.206602475
"332" "understanding" "V1_0" "NoSC_in" 10.206602475
"333" "understanding" "V1_0" "SC_co" 11.125145025
"334" "understanding" "V1_0" "SC_in" 11.12518535
"335" "understanding" "V1_0" "SCRC_co" 10.462038725
"336" "understanding" "V1_0" "SCRC_in" 10.585996775
"337" "<unk>" "V1_0" "NoSC_co" 10.4448398
"338" "<unk>" "V1_0" "NoSC_in" 10.4448398
"339" "<unk>" "V1_0" "SC_co" 11.56679335
"340" "<unk>" "V1_0" "SC_in" 11.47636995
"341" "<unk>" "V1_0" "SCRC_co" 12.138693125
"342" "<unk>" "V1_0" "SCRC_in" 11.95324485
"343" "view" "V1_0" "NoSC_co" 9.678389075
"344" "view" "V1_0" "NoSC_in" 9.678389075
"345" "view" "V1_0" "SC_co" 10.3635243
"346" "view" "V1_0" "SC_in" 10.287320075
"347" "view" "V1_0" "SCRC_co" 10.190054525
"348" "view" "V1_0" "SCRC_in" 10.247893925
