Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
perception	V2_0	sing	12.168776512145996	0.0625	300321542	0.0	0.65	516252642	27553360
perception	V2_1	sing	10.482318878173828	0.0763888888888889	300321542	0.0	0.65	516252642	27553360
intuition	V2_0	plur	12.648557662963867	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
intuition	V2_1	plur	10.580022811889648	0.024305555555555556	300321542	0.0	0.65	516252642	27553360
intuition	V2_0	sing	13.268640518188477	0.03125	300321542	0.0	0.65	516252642	27553360
intuition	V2_1	sing	10.519186973571777	0.003472222222222222	300321542	0.0	0.65	516252642	27553360
observation	V2_0	plur	12.526622772216797	0.0798611111111111	300321542	0.0	0.65	516252642	27553360
observation	V2_1	plur	10.858413696289062	0.059027777777777776	300321542	0.0	0.65	516252642	27553360
observation	V2_0	sing	13.153956413269043	0.10416666666666667	300321542	0.0	0.65	516252642	27553360
observation	V2_1	sing	10.96084976196289	0.041666666666666664	300321542	0.0	0.65	516252642	27553360
suspicion	V2_0	plur	12.715338706970215	0.0798611111111111	300321542	0.0	0.65	516252642	27553360
suspicion	V2_1	plur	10.810821533203125	0.13541666666666666	300321542	0.0	0.65	516252642	27553360
suspicion	V2_0	sing	12.974943161010742	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
suspicion	V2_1	sing	10.920333862304688	0.0798611111111111	300321542	0.0	0.65	516252642	27553360
revelation	V2_0	plur	13.028975486755371	0.1076388888888889	300321542	0.0	0.65	516252642	27553360
revelation	V2_1	plur	10.15222454071045	0.2847222222222222	300321542	0.0	0.65	516252642	27553360
revelation	V2_0	sing	12.580821990966797	0.14583333333333334	300321542	0.0	0.65	516252642	27553360
revelation	V2_1	sing	10.228114128112793	0.2222222222222222	300321542	0.0	0.65	516252642	27553360
understanding	V2_0	plur	11.946434020996094	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
understanding	V2_1	plur	10.074728012084961	0.020833333333333332	300321542	0.0	0.65	516252642	27553360
understanding	V2_0	sing	12.311738967895508	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
understanding	V2_1	sing	10.341529846191406	0.0	300321542	0.0	0.65	516252642	27553360
insinuation	V2_0	plur	14.418643951416016	0.0	300321542	0.0	0.65	516252642	27553360
insinuation	V2_1	plur	11.503469467163086	0.0	300321542	0.0	0.65	516252642	27553360
insinuation	V2_0	sing	15.164137840270996	0.0	300321542	0.0	0.65	516252642	27553360
insinuation	V2_1	sing	10.949783325195312	0.0	300321542	0.0	0.65	516252642	27553360
notion	V2_0	plur	11.691011428833008	0.041666666666666664	300321542	0.0	0.65	516252642	27553360
notion	V2_1	plur	10.966915130615234	0.0625	300321542	0.0	0.65	516252642	27553360
notion	V2_0	sing	12.193960189819336	0.04513888888888889	300321542	0.0	0.65	516252642	27553360
notion	V2_1	sing	11.416336059570312	0.024305555555555556	300321542	0.0	0.65	516252642	27553360
opinion	V2_0	plur	12.973711967468262	0.09375	300321542	0.0	0.65	516252642	27553360
opinion	V2_1	plur	10.327104568481445	0.1701388888888889	300321542	0.0	0.65	516252642	27553360
opinion	V2_0	sing	13.15720272064209	0.08680555555555555	300321542	0.0	0.65	516252642	27553360
opinion	V2_1	sing	10.529626846313477	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
sense	V2_0	plur	11.959794998168945	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
sense	V2_1	plur	10.127138137817383	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
sense	V2_0	sing	12.969897270202637	0.020833333333333332	300321542	0.0	0.65	516252642	27553360
sense	V2_1	sing	9.730238914489746	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
presumption	V2_0	plur	11.881235122680664	0.21875	300321542	0.0	0.65	516252642	27553360
presumption	V2_1	plur	10.830988883972168	0.21180555555555555	300321542	0.0	0.65	516252642	27553360
presumption	V2_0	sing	12.486551284790039	0.21180555555555555	300321542	0.0	0.65	516252642	27553360
presumption	V2_1	sing	10.3124418258667	0.16319444444444445	300321542	0.0	0.65	516252642	27553360
assurance	V2_0	plur	12.587584495544434	0.2048611111111111	300321542	0.0	0.65	516252642	27553360
assurance	V2_1	plur	10.489331245422363	0.3090277777777778	300321542	0.0	0.65	516252642	27553360
assurance	V2_0	sing	12.956859588623047	0.21180555555555555	300321542	0.0	0.65	516252642	27553360
assurance	V2_1	sing	10.507509231567383	0.14930555555555555	300321542	0.0	0.65	516252642	27553360
realization	V2_0	plur	12.140117645263672	0.13194444444444445	300321542	0.0	0.65	516252642	27553360
realization	V2_1	plur	10.43503475189209	0.11458333333333333	300321542	0.0	0.65	516252642	27553360
realization	V2_0	sing	12.086408615112305	0.1423611111111111	300321542	0.0	0.65	516252642	27553360
realization	V2_1	sing	10.321847915649414	0.06944444444444445	300321542	0.0	0.65	516252642	27553360
impression	V2_0	plur	12.274752616882324	0.19791666666666666	300321542	0.0	0.65	516252642	27553360
impression	V2_1	plur	10.424904823303223	0.3020833333333333	300321542	0.0	0.65	516252642	27553360
impression	V2_0	sing	12.128639221191406	0.24305555555555555	300321542	0.0	0.65	516252642	27553360
impression	V2_1	sing	10.09476089477539	0.2013888888888889	300321542	0.0	0.65	516252642	27553360
assertion	V2_0	plur	12.299798965454102	0.08680555555555555	300321542	0.0	0.65	516252642	27553360
assertion	V2_1	plur	10.491419792175293	0.14583333333333334	300321542	0.0	0.65	516252642	27553360
assertion	V2_0	sing	12.061129570007324	0.09027777777777778	300321542	0.0	0.65	516252642	27553360
assertion	V2_1	sing	10.541593551635742	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
contention	V2_0	plur	12.923518180847168	0.2777777777777778	300321542	0.0	0.65	516252642	27553360
contention	V2_1	plur	10.78404426574707	0.3472222222222222	300321542	0.0	0.65	516252642	27553360
contention	V2_0	sing	13.016708374023438	0.21180555555555555	300321542	0.0	0.65	516252642	27553360
contention	V2_1	sing	10.618982315063477	0.3333333333333333	300321542	0.0	0.65	516252642	27553360
assumption	V2_0	plur	12.057246208190918	0.1840277777777778	300321542	0.0	0.65	516252642	27553360
assumption	V2_1	plur	10.135088920593262	0.4618055555555556	300321542	0.0	0.65	516252642	27553360
assumption	V2_0	sing	12.063345909118652	0.2604166666666667	300321542	0.0	0.65	516252642	27553360
assumption	V2_1	sing	10.57691478729248	0.2847222222222222	300321542	0.0	0.65	516252642	27553360
belief	V2_0	plur	12.771242141723633	0.2916666666666667	300321542	0.0	0.65	516252642	27553360
belief	V2_1	plur	10.244808197021484	0.4479166666666667	300321542	0.0	0.65	516252642	27553360
belief	V2_0	sing	11.692522048950195	0.2326388888888889	300321542	0.0	0.65	516252642	27553360
belief	V2_1	sing	9.9146728515625	0.4166666666666667	300321542	0.0	0.65	516252642	27553360
fact	V2_0	plur	13.380931854248047	0.10416666666666667	300321542	0.0	0.65	516252642	27553360
fact	V2_1	plur	10.411266326904297	0.13541666666666666	300321542	0.0	0.65	516252642	27553360
