{'iterations': '950000', 'pred_weight': 0.75, 'del_rate': 0.55, 'correlations': {'Model 1': -0.3841, 'Sanity 2': -0.5897, 'Model 2': -0.1659}, 'id': '897063908', 'lr_mem': 1e-05, 'mom': 0.5}
{'iterations': '1300000', 'pred_weight': 0.5, 'del_rate': 0.45, 'correlations': {'Model 1': -0.2493, 'Sanity 2': -0.2981, 'Model 2': -0.1668}, 'id': '896676920', 'lr_mem': 1e-05, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.45, 'correlations': {'Model 1': -0.3046, 'Sanity 2': -0.2715, 'Model 2': -0.1718}, 'id': '776190432', 'lr_mem': 1e-05, 'mom': 0.7}
{'iterations': '400000', 'pred_weight': 1.0, 'del_rate': 0.55, 'correlations': {'Model 1': -0.046, 'Sanity 2': -0.7297, 'Model 2': -0.185}, 'id': '869236030', 'lr_mem': 2e-05, 'mom': 0.9}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.25, 'correlations': {'Model 1': 0.0637, 'Sanity 2': -0.4666, 'Model 2': -0.1859}, 'id': '417768868', 'lr_mem': 1e-05, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.5, 'del_rate': 0.7, 'correlations': {'Model 1': -0.0555, 'Sanity 2': -0.5726, 'Model 2': -0.1863}, 'id': '39869915', 'lr_mem': 2e-06, 'mom': 0.9}
{'iterations': '500000', 'pred_weight': 0.5, 'del_rate': 0.2, 'correlations': {'Model 1': -0.0381, 'Sanity 2': -0.3413, 'Model 2': -0.189}, 'id': '439800267', 'lr_mem': 2e-05, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.25, 'correlations': {'Model 1': -0.0836, 'Sanity 2': -0.3587, 'Model 2': -0.1912}, 'id': '732685848', 'lr_mem': 1e-05, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.25, 'correlations': {'Model 1': -0.1643, 'Sanity 2': -0.4712, 'Model 2': -0.192}, 'id': '44918998', 'lr_mem': 1e-05, 'mom': 0.5}
{'iterations': '50000', 'pred_weight': 1.0, 'del_rate': 0.3, 'correlations': {'Model 1': -0.3417, 'Sanity 2': -0.632, 'Model 2': -0.1927}, 'id': '339104106', 'lr_mem': 2e-06, 'mom': 0.5}
