LowerCaseToken	Frequency
distinctions	378
defining	794
waiter	271
plainly	440
testimony	421
reporters	327
promising	1205
nazi	328
europeans	329
cliffs	356
licences	412
sufferers	259
transparent	446
ceasefire	123
prose	394
employing	712
corridors	447
67	385
proliferation	265
innovations	365
faction	213
ecological	304
demographic	239
bail	404
subscription	394
beginnings	501
hire	985
evenly	472
donations	365
outfit	481
delivering	651
1942	283
patches	514
nervously	377
downing	289
siege	408
recovering	577
voting	1078
noon	438
equipped	1151
texture	503
hopeful	485
reinforced	998
cardboard	450
dubious	530
combat	880
rupert	249
procession	382
palestinians	114
dusty	433
assistants	401
undermine	581
twenties	437
tricks	609
ironic	470
fastest	503
executed	844
outsiders	429
pine	526
miniature	572
halls	478
cautiously	439
belgian	418
supplement	868
sail	635
1929	290
wiped	773
unlimited	415
elementary	363
eagerly	484
currents	287
swimming	1469
sharon	229
secretly	481
kicking	716
jealousy	378
tissues	308
unification	199
rewarded	688
relying	544
preferable	503
legitimacy	259
bolt	392
racist	300
postal	403
greeted	970
weary	457
trapped	1221
sinister	445
robust	492
narrative	576
collectors	338
celebrating	521
penal	198
organising	802
chasing	663
advent	520
excellence	442
faults	474
fare	684
contradictions	311
substantive	255
commissioned	1038
stepping	628
factions	297
simpson	329
drift	854
coping	577
tomato	277
bitterness	460
counterpart	465
wandered	627
halifax	244
disturbed	1270
molecule	157
journeys	489
concession	396
bullet	368
fishermen	342
characterised	547
burns	690
surge	557
purity	330
painfully	448
madness	450
volcanic	179
disks	171
71	353
guaranteed	1369
dismiss	589
deemed	926
reproductive	162
fabulous	341
realising	481
nationality	293
hazards	376
anticipated	1243
spectators	335
feast	496
evolved	824
alteration	353
aftermath	429
varied	2037
terrorism	278
susceptible	442
mount	1044
rubbed	561
processors	238
filthy	404
bin	506
swim	810
patrol	496
lean	813
handing	566
encourages	607
vocal	360
shirts	505
demonstrating	585
steal	597
learners	109
transit	390
thermal	234
repression	269
consist	779
licensed	534
kensington	293
audio	340
spray	588
retailers	303
finland	305
sorted	909
insisting	503
gloomy	465
rulers	292
recognising	542
passport	434
litter	370
midst	469
sustainable	247
protestant	481
declare	667
customary	497
allegiance	387
demise	458
intellectuals	265
afghanistan	144
understands	459
jam	640
condemned	1021
treaties	167
therapist	138
dining	901
belongs	886
demonstrates	635
warrant	653
thigh	368
mercury	392
irritation	408
burst	1830
wolves	236
virtues	449
rigorous	444
immensely	462
dragon	382
supervisor	333
madonna	199
excluding	771
wilkinson	252
wandering	668
thighs	365
tactical	343
reinforce	674
meaningless	457
casualty	387
yelled	337
shout	1045
onion	204
emphasise	685
berkshire	320
warfare	445
monks	259
floating	1022
cared	950
substitute	1269
obsession	445
toll	552
joints	433
destroying	618
darker	506
acceleration	245
spoon	391
impetus	466
extract	829
checks	784
cloak	334
therapeutic	255
sustained	1463
feminism	164
extensions	394
sexy	260
secrecy	414
owes	445
heathrow	271
fascination	427
drawers	321
imagery	272
disorders	365
computing	790
ashore	243
viii	294
flash	1008
wilderness	380
ruthless	400
inconsistent	374
urging	583
runner	355
obstacle	460
disgusting	448
countless	455
victories	310
predicted	1227
joins	471
unpopular	402
housewife	239
fork	521
arrogant	355
lethal	373
doorstep	442
convicted	826
risky	398
incorporating	569
flowing	811
ensured	749
skies	373
depressing	503
crust	231
regimes	275
marathon	370
headlines	527
distortion	303
struggles	471
conveniently	469
bald	355
arguably	408
stem	748
observing	606
blamed	952
scepticism	379
decision-making	622
austrian	331
energetic	484
governmental	246
extremes	463
confronted	917
bite	887
tempting	535
responsive	368
mounted	1332
butterfly	305
strand	511
munich	293
lawson	266
inspectorate	207
shining	919
planted	930
mildly	412
mohammed	165
elusive	455
coaches	421
bend	852
spectacle	429
imposing	860
selecting	605
drunken	372
challenging	985
retains	489
physiological	206
oppose	530
doll	398
derives	392
denying	628
tours	602
questioning	1000
intrinsic	339
ducks	320
slot	472
indifferent	438
dusk	369
costing	786
amusing	561
resume	474
graves	309
composed	1357
twisted	1037
frost	529
rocket	277
fa	345
claire	334
finances	537
contacted	740
dynamics	288
competitor	345
flies	733
fancy	1603
confession	322
30,000	389
qualitative	237
torture	496
compassion	399
architectural	554
presentations	315
ordeal	306
hart	255
environmentally	280
outskirts	405
sticks	851
skeleton	330
dome	272
install	446
paradise	597
expressly	224
photographers	295
impatient	474
genre	235
asthma	226
tougher	380
gandhi	130
divide	1141
dedicated	1448
arranging	675
strengthened	866
portraits	363
momentarily	349
listeners	268
definitive	406
screening	510
apartments	235
repeating	619
journalism	313
acquiring	639
50,000	373
prototype	374
appealed	929
shocking	389
scratch	745
orbit	292
marched	629
harassment	292
valued	1038
romanian	192
right-wing	400
pour	761
piles	421
web	366
cia	137
sober	437
paradox	373
humiliation	386
0.5	225
constituted	779
wholesale	504
whip	532
searched	767
novelist	304
morally	329
vicinity	367
shorts	471
shifted	979
worries	980
pills	288
conceal	506
outlet	358
chapman	310
breadth	426
marion	184
exercising	506
unrealistic	411
salon	211
ropes	345
dried	1197
beloved	574
seriousness	385
damaging	1035
1906	214
stables	300
peterborough	235
counted	976
tentative	430
hairs	309
forecasts	452
spy	422
ads	208
recruit	618
gathering	1493
ministries	219
expectancy	244
rubbing	449
witnessed	822
mates	491
markers	171
mars	270
intensely	415
assassination	240
insulation	231
admired	851
preoccupation	371
intimacy	306
glamorous	366
drag	880
monitored	641
canteen	252
kissing	452
trainee	301
aboard	498
congratulations	385
financed	638
crowded	1156
cited	1016
diamonds	250
burned	1105
accounted	938
pointless	425
heather	360
cruise	496
ventures	484
supermarkets	274
pending	512
madam	298
extraordinarily	381
basil	266
threatens	372
rovers	186
rationale	324
extinction	301
directives	224
participating	693
tiger	451
tackling	539
rosemary	289
surgeons	294
loaded	1021
consolation	368
devoted	1800
builds	426
tedious	403
kenny	231
diplomacy	255
peering	357
monkey	319
drain	754
diversion	345
1,500	360
thirds	326
tear	900
discomfort	485
collectively	366
blaze	345
recruits	354
addiction	240
hits	739
britons	208
admitting	467
140	370
sketch	508
pillars	327
fantasies	320
diaries	273
day-to-day	637
uniforms	327
profiles	299
forgiven	395
exhausted	1290
reassurance	371
stirred	675
logo	314
jerry	236
handbag	347
chatting	421
spiral	432
releasing	508
pact	499
ftse	74
balances	288
incurred	666
incorporation	292
doubled	1026
daytime	307
trench	207
fossils	109
wipe	592
paramount	440
nutrients	168
excited	1366
sophistication	370
sometime	564
duchy	96
drifting	485
overwhelmingly	322
youthful	360
stalls	435
shifting	849
inspect	463
deterrent	295
dared	660
aerial	379
unaffected	352
rituals	221
moisture	380
inclination	367
turbulent	258
rejecting	486
philosophers	270
contraction	177
richest	330
illnesses	277
transmitted	676
render	519
familiarity	390
efficacy	229
comic	650
volunteer	637
mob	363
ecology	259
brisk	356
anticipate	566
stark	603
professionally	376
forties	329
wonderfully	362
reminding	480
curved	644
outrage	485
woollen	267
recruited	664
firing	686
bounds	409
hague	199
expresses	408
contemplate	480
atom	175
squeezed	760
ragged	407
highlights	788
comeback	249
coincide	494
spin	534
posed	1010
luxurious	318
edited	700
chill	545
disclosed	573
cupboards	263
adjectives	129
visions	343
shores	319
exhaustion	378
shaped	1084
dispose	430
displaying	485
strokes	396
mock	473
grinning	433
cares	529
adventures	322
undue	287
opt	508
gifted	299
bastards	256
kills	351
inmates	251
blocking	540
stare	714
jargon	337
arrogance	331
thankfully	332
irresistible	371
abandonment	339
200,000	315
slump	370
prefers	359
newcomer	341
implying	404
foul	749
dresses	485
contentious	344
voluntarily	347
parsons	201
notoriously	389
multitude	369
intriguing	430
inference	241
devote	498
betrayal	309
stockings	264
provoked	809
disappointing	754
1907	197
winger	121
kylie	76
guarantees	663
exploded	702
editorial	667
applause	381
40,000	305
vividly	369
stirring	549
revelations	298
gardening	504
abolish	345
shoppers	252
revive	373
parked	936
6,000	315
kurdish	123
gangs	274
sincere	364
pose	851
maastricht	256
fitting	1198
cathy	172
arabic	171
seize	437
schoolboy	324
rescued	606
provoke	473
plug	594
nineties	277
committing	476
civilised	293
bankrupt	426
labelled	987
cocaine	298
ridden	234
wagon	269
trigger	574
lieutenant	379
memoirs	237
defended	711
built-in	284
speciality	309
slogan	316
detachment	291
bless	360
wounded	1037
postwar	127
meditation	205
excuses	450
reconcile	382
dover	233
tearing	460
sweeping	865
pioneer	466
lasting	1038
glare	367
limiting	662
hereditary	207
questionable	349
monk	292
enforced	756
dividing	623
upbringing	293
iceland	198
presenter	229
coastline	262
bates	163
barrister	263
chickens	308
wrists	285
icon	141
caesar	161
confirming	439
telescope	150
savage	625
raced	470
plastics	178
nostalgia	350
mortar	271
oceans	202
assembled	975
vice	766
bursting	476
edwardian	248
imprisoned	615
vacancies	205
transported	522
perceive	536
neglected	1001
junk	427
guts	342
envy	577
embrace	750
analogue	158
stylish	314
amy	202
spontaneously	253
concluding	384
bulb	248
adventurous	331
stakes	535
priced	762
matching	1010
signatures	260
massachusetts	259
documentary	493
condemnation	276
stumbled	505
shortcomings	326
rotor	49
homage	174
treasures	397
perfume	350
pearson	252
embryos	57
constrained	547
subscribers	219
permits	579
nutrition	248
haven	428
admire	607
workload	275
militia	166
leukaemia	170
childish	340
chaotic	313
viewing	721
sporting	997
quoting	409
feeble	323
ethos	250
diplomats	232
resumed	649
lava	114
formulated	612
wastes	298
epidemic	270
tackled	583
leap	841
jolly	652
far-reaching	309
viewer	217
marginally	328
hideous	291
hens	161
emphasises	334
columbia	240
staged	669
manifestation	311
wolf	425
warns	413
powerfully	311
levy	453
1902	174
registers	352
refreshing	331
potter	297
hysterical	320
extinct	227
wellington	328
recourse	354
left-wing	406
richly	289
midfielder	88
jets	250
brushing	355
veterans	231
tummy	150
inconvenience	317
disappearing	534
decorations	255
benn	145
mini	443
pill	316
nationwide	621
lending	686
unmistakable	285
fright	289
exchanged	813
declining	819
horrors	326
coherence	216
1997	210
yen	162
spectator	284
excesses	301
stout	369
meagre	339
glamour	361
disturbing	961
tuition	249
slowed	634
rainbow	370
accusing	402
fortress	287
compliment	366
akin	317
ostensibly	301
imperialism	175
immature	201
jew	189
interiors	191
smashed	722
schedules	350
proven	623
housed	677
trafford	149
earthquake	278
rating	699
murdoch	162
fen	77
acutely	311
tuc	117
exert	425
wonders	668
shortfall	292
nave	109
mattered	519
escaping	511
compulsion	230
attach	536
posted	537
semantics	99
lager	274
drily	153
discourage	404
co-ordinate	363
hairdresser	181
thrill	379
shadowy	289
lavish	332
grapes	283
contributors	268
stale	293
licensing	601
deserted	981
mint	343
withstand	338
benches	370
lesley	159
agreeable	293
migrants	137
buckets	216
bombay	157
marching	411
hindsight	305
manhattan	215
generals	224
cambridgeshire	179
debated	524
conservatory	171
smells	532
disguise	580
bubble	387
15,000	280
recycling	526
preparatory	276
consulting	643
bleeding	714
beware	415
reacted	649
induced	647
goats	268
unfinished	311
clara	139
qc	185
overwhelmed	537
fake	367
bewildered	421
thinner	279
stripped	796
proclaimed	542
persecution	248
irritating	355
fixing	510
faculties	201
entrepreneurial	196
affluent	238
retrospect	311
restrain	316
confuse	426
weighed	678
remotely	300
outing	373
norwegian	426
disruptive	230
celtic	395
targeted	638
squeeze	745
signalled	519
preceded	612
monies	185
slots	264
gigantic	269
dinosaurs	135
affordable	229
unavailable	263
masterpiece	252
troop	265
compounded	464
terraced	250
plo	188
staggered	474
greenwich	203
fumes	404
displacement	182
advert	295
sands	302
filed	627
abused	531
online	110
claimants	150
tier	203
terrified	862
improbable	274
diets	204
alcoholic	353
weakened	651
shortages	427
regulated	552
galaxies	69
beginners	214
awkwardly	252
maze	294
echoes	448
capitalists	139
carrot	213
conceivable	303
benson	247
welcoming	637
obsessed	499
amazingly	289
respected	1100
gibraltar	154
foyer	205
eternity	256
courageous	267
blackness	218
undergrowth	227
poses	444
synonymous	285
suspects	473
encounters	466
relentless	293
dinners	251
catches	438
bubbles	295
amounting	283
triple	452
tides	214
simplistic	255
miami	188
chairmanship	241
1899	167
murdering	240
boyd	126
prejudices	322
12,000	276
travels	665
stormy	258
searches	289
remnants	290
diverted	455
damned	676
unnatural	347
steer	432
progressed	602
phones	293
militant	374
lab	294
insecurity	264
veteran	598
teens	282
shattered	864
lifelong	267
excursion	207
beasts	292
vengeance	287
mentality	253
feat	315
exposing	355
surprises	387
loaf	268
deprived	918
broadcast	994
wreck	390
novice	246
losers	239
destined	682
carved	894
volcano	162
orchard	216
inflationary	146
humane	221
endeavour	579
accompanying	812
vain	282
revived	629
functioning	664
beneficiary	228
shaping	498
burma	165
buoyant	257
treats	452
therein	227
subscriptions	199
scarce	534
high-speed	224
fluent	234
dishonest	184
defiant	242
creeping	420
unthinkable	290
unsuccessfully	273
seated	833
ramp	180
geared	495
extras	247
delights	326
associate	916
7,000	251
prosecutor	206
permissible	256
negligent	162
fearing	322
worthless	260
vulgar	248
remit	256
vans	215
prevail	386
fragmentation	192
catastrophe	293
soho	185
mackenzie	156
indictment	212
distaste	301
authenticity	219
cost-effective	221
childbirth	192
alternate	363
zurich	134
stamina	220
spared	450
intellect	264
aa	201
daring	582
rendered	780
ranged	528
luncheon	181
almighty	288
short-lived	430
apologise	429
stained	644
earrings	173
behaved	637
abingdon	138
relaxing	524
complacency	253
sparse	275
evolve	335
deployed	431
sensual	195
kgb	139
in-depth	208
300,000	236
resonance	185
memo	151
hms	123
grease	269
covent	187
connor	87
heal	372
claws	251
quotes	507
obsolete	267
counsellors	165
breathtaking	222
trinity	414
hefty	268
haze	263
essentials	264
transplant	246
silicon	279
preoccupied	493
longing	558
exploiting	346
105	233
tessa	95
objectively	233
istanbul	113
saga	287
rub	577
readership	204
pollutants	124
expiry	147
commence	324
replica	220
imperfect	229
vanity	285
havoc	268
genetically	172
1.4	207
stray	432
pedigree	205
cornish	210
stern	562
pearl	347
hawaii	150
exterior	413
exported	386
spate	244
leant	254
fancied	386
eroded	415
closeness	235
5.3	173
criticise	358
comprehend	285
banged	333
wide-ranging	378
spies	213
fauna	173
exaggerated	787
constructions	152
battlefield	234
waterfall	178
dive	398
covert	222
hostilities	201
respectability	231
floated	503
diplomat	229
betrayed	565
alleviate	295
weed	296
sleek	229
muttering	301
coercion	152
aliens	163
shuttle	242
infamous	245
corpses	214
billions	192
activated	361
condensation	168
inspire	364
inadvertently	271
fitzgerald	143
ridley	165
rewarding	537
rated	535
pulses	225
mod	190
hamlet	343
disintegration	219
announces	224
weaken	319
hauled	443
hangs	398
drinkers	176
dread	468
cosmetic	238
skinny	193
resented	420
lightweight	399
favours	589
baked	488
qualifying	580
pledged	493
keenly	259
gale	271
stabbed	455
squads	165
sings	200
ono	21
haul	425
fade	438
endangered	351
asserting	262
overweight	209
lumps	284
filming	361
towering	301
linguists	70
embedded	613
8pm	104
1.6	183
superficially	229
summed	525
shrug	335
ferocious	252
striving	329
outlines	515
lifts	461
descended	612
funerals	149
externally	228
eloquent	232
broadcasters	124
pleading	450
justifiable	239
divorced	704
dismissive	233
reptiles	94
interviewing	414
devastated	470
caravans	148
wrath	251
widest	265
speeding	391
screams	327
labourer	202
inconvenient	249
demons	154
contend	334
charismatic	213
biotechnology	116
indistinguishable	251
deference	214
one-day	256
envoy	132
woodwork	220
oversee	235
diy	198
cohort	132
animated	319
mi5	71
invent	349
cute	174
advertisers	147
uncompromising	226
stupidity	219
gasp	270
echoing	360
adverts	227
witches	155
nominations	157
villain	216
stretches	496
screened	390
scars	295
modestly	251
invaded	487
fools	308
decisively	239
anorexia	84
timid	224
retiring	537
climber	89
clear-cut	222
adulthood	189
percentages	230
illustrating	268
fading	476
blokes	184
tigers	224
stroking	233
payroll	217
dilemmas	173
assassin	112
shutting	284
tumbling	330
ploy	241
marrow	153
gamble	392
thrilled	372
consume	368
accessed	161
soften	277
manipulated	390
steering	687
livingstone	150
gladly	243
afghan	106
drawback	241
corrected	574
anymore	176
shopkeepers	199
judiciary	238
harmonious	220
carpenter	298
intimidation	186
impractical	244
floorboards	164
chunk	229
elaboration	185
terrestrial	135
stereotypes	225
drowning	400
bravery	184
1859	124
punitive	175
endurance	234
watchdog	178
wares	168
villas	161
turnout	186
volcanoes	74
spilling	273
bombing	640
rarity	222
bedding	291
warmer	417
hype	199
entrepreneur	196
earthly	173
clad	298
bookshops	155
topped	556
reliably	199
prompt	570
drains	301
attendant	482
asserts	245
alaska	140
tangle	269
smug	220
mosque	124
knob	173
self-conscious	211
screwed	396
scandinavia	230
fragrance	149
fleeing	289
experimenting	264
broom	204
pictured	545
moss	503
fragrant	166
deriving	246
courtney	86
cents	152
reinforces	243
packaging	671
misrepresentation	95
erect	433
comforting	421
bloomsbury	109
supposing	247
nostalgic	219
melt	436
bursts	316
anglo-saxon	245
amazon	187
staple	276
euro	243
dough	151
connolly	126
digest	316
legitimately	213
bidding	469
ageing	690
abuses	281
rave	195
originated	570
haphazard	220
hailed	430
enigmatic	198
demon	190
spun	491
haemorrhage	148
dwell	318
disproportionate	216
unison	191
thirst	265
enforceable	136
photographed	435
keating	86
irrigation	155
inhibited	363
beak	152
celebrates	229
spokesmen	142
blair	215
vine	176
sod	316
noisily	189
commercials	131
1.8	158
vibrant	259
trifle	212
subdued	439
pompous	210
novelists	96
instalment	139
ecuador	103
connotations	180
thrive	316
thence	189
switches	415
puppet	192
nietzsche	49
deficient	197
topical	162
fervour	229
cds	103
unilateral	196
torrent	209
subtlety	217
joys	202
evils	194
discouraged	440
bug	263
oasis	167
hooligans	120
plank	211
mitch	54
innocently	192
contender	205
strawberry	216
bluntly	262
waiters	158
rohmer	5
equities	85
spaghetti	151
recruiting	458
os	108
obtains	163
inexplicable	210
craftsman	168
commandos	64
bakery	166
scorn	312
scaffolding	154
pounding	399
delta	265
congenital	90
coinage	77
1862	110
jubilee	270
impeccable	211
conserve	248
celebrities	178
apathy	207
surrounds	306
suites	155
stereotype	177
pinned	575
distract	257
boast	398
tamil	83
rowland	120
resemble	465
enforcing	252
ambassadors	147
unhelpful	192
salesmen	148
queer	222
clip	354
annoying	353
shrink	315
elegantly	196
ducked	226
detainees	76
blessed	674
tabloids	122
snap	582
siren	185
plunge	463
disregard	385
radicalism	133
offend	261
grandiose	192
arduous	212
anomaly	169
theresa	129
stein	114
parable	85
oblivion	214
nasa	121
embryonic	138
transistor	96
silky	155
shine	557
millennium	133
kerr	214
embodied	506
dinosaur	131
compassionate	188
year-old	166
swaying	289
separatist	101
eton	176
caption	171
absurdity	180
publishes	174
nude	217
commuter	147
rainy	195
pitfalls	246
swell	425
mats	158
extremists	138
banning	354
abbott	101
unanswered	208
sipping	232
parchment	120
cessation	182
camel	237
distrust	280
ambivalence	142
unseen	397
glaring	308
entropy	33
3.8	129
workable	196
premiership	136
overhaul	212
microscopic	140
latitude	141
woolf	124
uncanny	192
take-over	110
detailing	264
rebellious	182
phd	121
obscurity	183
jock	99
flared	401
effortlessly	184
draining	297
disadvantaged	378
amber	301
afforded	516
whitbread	173
murderous	181
mi6	35
alastair	171
sprung	322
custodial	81
townships	84
neurotic	177
henri	171
channelled	285
advises	235
adolescent	354
70,000	179
1864	121
vehemently	185
refund	217
inventive	185
intrigued	398
inflicted	441
clumps	163
cantona	48
beckett	134
alleging	196
wheeled	350
warner	245
brute	240
adept	229
under-secretary	119
superstition	157
sas	149
majestic	224
inescapable	193
hinted	436
admiring	328
eradicate	204
contraceptive	120
adored	237
rainforests	78
defeating	199
alcoholism	126
triumphs	218
segmentation	60
interplay	174
bracken	124
bluff	266
barney	107
smear	219
sliced	404
pointedly	169
haircut	142
director-general	180
vantage	200
smash	393
respectful	199
gingerly	170
showdown	117
olives	101
infrared	53
inconsistency	172
festivities	162
choked	384
brew	267
probing	348
curfew	126
confessions	158
aerobic	73
tyson	105
swings	328
haunted	455
exhibiting	201
estimating	219
ceases	279
tundra	53
stickers	147
sprint	216
scot	270
scary	143
man-made	299
frivolous	174
abrasive	149
schoolchildren	253
pentagon	141
originals	149
messrs	133
flourished	353
compelling	519
utah	93
self-esteem	256
nipples	165
lantern	150
savers	101
refrain	301
lib	89
heaps	222
rides	377
preach	201
hum	252
roaring	412
loomed	273
go-ahead	213
confrontations	154
booze	208
beats	379
wicker	136
sectional	121
primates	65
inevitability	176
blur	281
unfounded	178
mountbatten	52
erupted	354
blasted	333
addicts	130
satanic	118
salient	195
reputations	151
embodiment	161
crawl	360
conquer	222
150,000	169
weakest	186
slows	165
slang	147
relish	416
numbered	600
nova	157
burying	209
assaulting	137
nearing	281
elizabethan	209
cracking	459
bumped	295
blanc	116
trafalgar	192
thanking	191
explorer	193
embraced	477
affections	170
10p	119
valuables	111
undeniable	178
rebuilding	423
inaugural	260
forgery	123
biographer	149
amorphous	109
unjustified	168
shudder	249
pretext	163
imperatives	108
plethora	176
debatable	188
averaging	220
watchers	157
paranoia	144
best-selling	140
transparency	138
seattle	116
protagonists	143
greenwood	140
flashes	277
failings	171
courtroom	112
sodden	151
servicing	411
scrub	326
sperm	170
mercifully	170
horseback	154
genetics	135
24-hour	220
spectacularly	175
trek	248
trance	137
seekers	101
graduated	365
freeing	267
eugene	133
corrections	137
wholesome	161
tread	369
trails	243
plucked	334
manipulating	255
manhood	138
husky	116
crush	403
torches	152
looming	304
fateful	152
criticising	193
intensified	495
chests	147
armoury	170
proust	59
participated	411
lizards	87
kurt	167
backbenchers	90
tangled	397
tabloid	278
surf	131
snatch	265
skulls	149
sensors	123
self-confidence	295
hawk	217
woody	159
terrifying	535
recycled	324
operatic	103
levelled	407
guaranteeing	208
drafting	417
defy	273
cunning	391
comprehensively	166
centenary	312
scramble	327
round-up	137
crimson	295
cinnamon	106
ovens	113
operative	261
oman	79
launches	326
despised	360
ascendancy	138
senegal	69
lynne	97
bearded	260
anti-social	119
treading	196
thanksgiving	131
fabrication	143
rattle	300
obesity	81
long-running	149
hotter	136
fondly	156
firewood	107
crackers	115
swamped	264
shambles	162
plural	190
blimey	114
barber	269
underfoot	145
startling	601
staffing	507
ripping	185
polystyrene	105
penguin	205
pastels	54
finishes	407
denotes	127
cosmo	44
cons	245
aristocrats	124
absurdly	157
worshippers	122
tailored	426
smack	288
satirical	137
naming	371
cruising	253
billed	170
addis	59
premiere	153
offending	414
junta	66
denominator	141
copious	140
congenial	153
weekday	145
slain	95
interviewers	107
furry	155
foolishly	154
fatally	147
equator	100
envious	149
crushing	381
abdullah	89
1835	100
chew	260
wobbly	137
reappeared	265
porn	104
pivotal	139
pioneering	504
pancreas	44
oslo	116
opaque	256
intangible	118
flapping	250
curtailed	249
clandestine	138
cite	227
shyness	136
outraged	390
frock	142
falcon	122
credence	161
articulated	411
supremely	141
stand-off	74
pernicious	114
overheard	289
naturalist	133
mocked	215
lingered	266
anorak	119
reaffirmed	196
illinois	122
dubbed	397
disinterested	134
underworld	150
spears	139
salty	127
orgasm	94
operatives	98
intensively	137
hancock	106
gritty	148
founding	565
arabian	139
wednesdays	134
unilaterally	119
rye	181
living-room	183
kurds	112
hardback	104
timed	354
snails	155
slough	154
psychotic	80
materialise	160
lookout	157
jumpers	137
disciplined	415
racecourse	145
pod	95
lukewarm	154
leaked	432
angling	168
sunglasses	172
splendidly	143
spaceship	57
corollary	226
brim	150
awash	130
vagaries	156
toughness	124
sutcliffe	87
saatchi	147
relay	269
annuity	63
raging	346
hinterland	111
gallop	178
denote	186
beleaguered	218
sneered	139
scrambling	187
resent	286
prosper	211
bandwagon	148
pitched	482
naturalistic	87
mocking	338
console	262
self-consciously	139
salons	64
juxtaposition	116
descends	104
cabins	95
unravel	168
unbelievably	138
stoves	73
shreds	149
reviewers	101
excite	193
coincides	216
babe	115
wayward	183
unforeseen	211
stifle	165
rembrandt	108
qualifies	118
mercenaries	82
landfill	110
assists	135
seafood	101
pinnacle	168
nuremberg	82
mover	124
moan	277
lizard	114
benchmark	151
unveiled	491
tuesdays	124
physique	122
obstructive	93
hunted	359
dismayed	248
bart	75
weakening	357
vow	176
publicise	160
lavishly	142
hooded	174
governance	90
sceptics	123
matisse	69
marr	60
impasse	141
ernst	178
democratically	114
arafat	114
sheikh	112
pledges	183
imbalances	83
epoch	109
crumbling	434
bales	102
2001	71
wakes	195
rotating	257
rearing	268
populist	175
defunct	141
criminality	59
confide	140
concedes	134
soaps	110
slick	284
sibling	87
screwing	157
sanctity	126
milieu	111
itinerary	152
incoming	407
drunkenness	123
black-and-white	127
seduced	206
poisoned	350
israelis	134
uphill	286
spirited	254
obese	54
enviable	137
vets	118
squirrels	89
manifested	294
hardline	91
guildhall	115
conceding	145
burnley	73
spires	138
sentencing	299
furore	140
easel	81
delusion	116
candid	128
calvin	99
trotted	170
stabbing	232
linguist	79
furtive	135
candidacy	74
calais	134
17-year-old	114
100m	63
keane	76
galvanised	81
endanger	148
cosmopolitan	223
tomlinson	104
serps	29
sap	184
minded	515
mali	58
insurrection	92
harbours	128
fulfils	150
britannia	171
reps	69
malevolent	101
grown-ups	89
giggle	228
gambling	378
dyke	152
brash	118
autograph	118
perceptible	119
magically	111
heartfelt	129
brits	129
wellbeing	106
take-up	122
practicalities	134
daunting	435
blurred	479
1999	78
unfairness	100
transmissions	93
resigning	167
pondering	152
loaves	105
doves	93
dingy	114
1998	114
whiskey	57
staunch	203
overcrowded	280
medically	110
canny	122
cancelling	162
breeder	109
ariel	66
anaesthetic	197
alberto	120
waterfalls	125
trailers	86
raisins	59
badges	214
affront	137
abiding	170
wildest	131
trepidation	126
strengthens	126
samson	79
regretting	136
newsagents	96
indebtedness	89
dubai	72
poppies	101
handwritten	153
disrepute	109
cover-up	111
uninterested	121
shoreline	120
glistening	244
cinematic	77
spurred	234
means-tested	52
faceless	121
conducts	133
burner	86
taboo	185
prosecutors	91
chomsky	46
15-year-old	98
tumble	301
topping	272
subconsciously	117
shellfish	103
sedentary	75
preposterous	130
larder	110
healthcare	127
devotees	119
waugh	152
unremarkable	116
sensibilities	103
polling	319
palpable	110
fable	92
baffled	316
uninteresting	118
uncritical	114
spades	118
slime	120
loathe	133
impassioned	115
edging	230
wired	239
punctuated	234
plausibility	84
hardcore	89
dunfermline	46
dorian	45
dazzling	443
blackout	101
30-year-old	90
0.8	83
tracked	235
south-western	80
cynically	101
commended	237
trimmed	334
subsidiarity	48
self-image	124
rationalism	54
prevails	170
jurassic	61
irregularly	93
heartless	112
dissuade	134
vomiting	179
rake	206
preconceptions	103
perceiving	147
explicable	84
bradshaw	111
boon	198
bikini	88
airing	156
vicarage	112
unstoppable	112
tuck	257
transitory	98
philanthropic	76
mirrored	309
wilfred	76
slalom	57
recycle	122
nightly	196
jeopardise	129
alcoholics	66
9am	72
wrought	295
tortoise	108
pizzas	72
oddity	99
incense	140
detritus	76
convened	251
archipelago	88
teamed	234
sustainability	48
smelling	260
proficient	107
overgrown	260
insubstantial	109
disordered	131
apocalyptic	91
refrigeration	81
privatise	92
howling	273
fickle	114
denials	111
captions	82
wand	109
sprawled	220
six-year-old	131
shutter	80
lenny	70
handouts	83
nome	10
hygienic	83
galore	102
fonda	64
cherished	294
beastly	91
summoning	144
mall	207
looser	99
legions	92
froth	112
featureless	92
disbanded	201
brooding	282
unwieldy	112
renewing	152
prompts	167
gait	106
diverting	179
competitively	99
22-year-old	108
topless	59
parole	90
paramilitaries	46
invading	241
trillion	46
teen	54
succumb	168
spinach	105
purists	87
instantaneously	95
drake	149
abdication	77
trilogy	81
marino	63
greener	116
giggs	42
eco	73
drunks	88
taxing	243
taped	297
shove	274
seven-year-old	114
perfected	199
inappropriately	95
eight-year-old	116
bastion	104
undervalued	101
sniff	248
robb	58
musicals	79
lamely	77
jetty	137
gregarious	78
genitals	79
four-day	145
falcons	61
discriminated	173
demography	58
burdened	180
boulogne	97
bondage	122
assures	121
appease	109
tuning	245
pissed	315
mannerisms	95
furnaces	102
epitaph	100
courteously	100
constrain	136
auctioned	125
350,000	97
tacky	100
ousted	229
kuala	73
intimidate	115
hawks	118
emirates	91
dexterity	104
booker	82
