deletion_rate	predictability_weight	reward	predictability	reconstructability	args	suffix	autoencoder
0.55	0.0	0.8371	5.0	0.8295341175027383	dual_learn_rate=0.02;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2M.py_215423136	709961927
0.45	0.5	4.5973	4.371455247397991	0.230955652739147	dual_learn_rate=0.01;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_223683235	709961927
0.3	0.75	6.5647	4.302243235575937	0.2269626919755544	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.9	QC_3_W_GPT2M.py_231119193	712478284
0.6	1.0	8.9647	4.474161080004003	2.0738627502536353	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.5	QC_3_W_GPT2M.py_233038717	647336050
0.35	0.0	0.0757	5.0	0.07754282903469227	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_243129450	709961927
0.45	0.75	6.9814	4.37423276254148	0.8157266823719359	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.7	QC_3_W_GPT2M.py_251637057	524811876
0.45	0.25	2.5119	4.395775622669526	0.20656158368275368	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_260125711	727001672
0.45	0.5	4.832	4.368235596918038	0.4701588931548932	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_265054176	524811876
0.45	1.0	8.7676	4.383804605953969	1.4078998222985317	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.9	QC_3_W_GPT2M.py_269367432	524811876
0.5	1.0	8.8156	4.409409590754201	1.608353478581578	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.9	_QC_3_W_GPT2M.py_27877760	516252642
0.4	0.75	6.8402	4.380823953488856	0.5314305039392079	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.9	QC_3_W_GPT2M.py_282416640	516252642
0.35	0.75	6.5782	4.306256799566629	0.22620163130336174	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.7	QC_3_W_GPT2M.py_324306522	516252642
